strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100010101,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010102,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010103,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010104,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010105,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010106,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010107,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010108,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010109,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010201,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010202,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010203,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010204,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010205,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010206,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010207,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010208,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010305,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010306,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010307,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010312,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010313,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010401,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010402,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010403,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010504,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010505,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010506,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010507,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010508,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010509,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010601,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010602,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010603,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010604,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010605,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010606,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010701,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010702,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010703,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010704,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010705,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010802,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010803,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010804,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010805,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010806,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010807,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010901,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010902,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010903,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010904,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010905,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010906,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010907,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011001,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011002,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011003,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011004,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011005,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011301,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011303,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011304,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011305,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011306,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011307,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011308,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011309,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011403,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011404,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011507,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011508,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012601,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012603,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012604,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
