strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100010101,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010102,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010103,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010104,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010105,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010106,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010107,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010108,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010109,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010201,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010202,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010203,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010204,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010205,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010206,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010207,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010208,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010305,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010306,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010307,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010312,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010313,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010401,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010402,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010403,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010504,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010505,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010506,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010507,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010508,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010509,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010601,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010602,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010603,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
